model,crisis_f1,sentiment_mae,topic_f1,avg_score,trainable_params,train_time_s,inference_ms_per_post
Q-Former approach,0.2016706443914081,0.24786914955576259,0.15979333457456713,0.41250980139603133,42560269,82.8,64.41
Standard multi-task,0.2016706443914081,0.2192275552799304,0.005859375,0.3659720805838143,9997,69.2,55.32
